property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_to_room_ratio
house,independent,sector 4,1.1,6111.0,1800.0,Plot area 200(167.23 sq.m.),4.0,4.0,3+,2.0,West,Old Property,,1800.0,,0.0,0.0,0.0,0.0,0.0,1,7,450.0
flat,smart world gems,sector 89,1.0,9033.0,1107.0519207350824,Carpet area: 1107 (102.84 sq.m.),2.0,2.0,2,1.0,,Under Construction,,,1107.0,1.0,0.0,0.0,0.0,0.0,1,38,553.5259603675412
flat,signature global park,sohna road,0.9,6254.0,1439.078989446754,Carpet area: 1439 (133.69 sq.m.),3.0,3.0,3,3.0,North-West,Relatively New,,,1439.0,0.0,0.0,0.0,1.0,0.0,1,96,479.6929964822513
flat,ireo the grand arch,sector 58,2.2,16000.0,1375.0,Super Built up area 1375(127.74 sq.m.),2.0,2.0,2,6.0,North-East,Relatively New,1375.0,,,0.0,0.0,0.0,0.0,0.0,1,42,687.5
flat,m3m merlin,sector 67,2.65,12945.0,2047.1224410969487,Super Built up area 2047(190.17 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3.0,3.0,3,0.0,North-East,Relatively New,2047.0,1900.0,1700.0,0.0,0.0,0.0,0.0,1.0,0,174,682.3741470323163
flat,dlf the ultima,sector 81,2.4,11412.0,2103.0494216614093,Super Built up area 2103(195.38 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),3.0,3.0,3+,12.0,North-East,Relatively New,2103.0,1650.0,1257.0,0.0,1.0,0.0,0.0,0.0,2,49,701.0164738871364
flat,emaar mgf palm terraces,sector 66,4.5,10599.0,4245.683555052364,Super Built up area 3670(340.95 sq.m.),5.0,5.0,3+,11.0,,New Property,3670.0,,,0.0,1.0,0.0,0.0,0.0,1,105,849.1367110104727
flat,dlf new town heights,sector 91,1.65,6345.0,2600.472813238771,Super Built up area 2364(219.62 sq.m.),4.0,4.0,3+,11.0,West,Moderately Old,2364.0,,,0.0,1.0,0.0,0.0,0.0,1,72,650.1182033096927
flat,experion the heartsong,sector 108,1.25,9259.0,1350.0378010584295,Super Built up area 1758(163.32 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3.0,3.0,3,1.0,South-East,Relatively New,1758.0,1500.0,1350.0,0.0,1.0,0.0,1.0,0.0,1,174,450.01260035280984
flat,tulip violet,sector 69,1.6,10139.0,1578.0648979189268,Super Built up area 1578(146.6 sq.m.),3.0,3.0,2,0.0,South-West,Relatively New,1578.0,,,0.0,0.0,0.0,1.0,0.0,1,49,526.0216326396422
